101	4
102	4
102	25
102	45
103	24
104	42
105	22
106	7
106	22
107	4
108	45
109	7
109	22
110	42
111	4
112	4
113	22
114	4
115	42
116	10
116	91
117	16
118	4
119	22
119	28
120	28
121	28
122	4
122	100
123	20
123	26
124	4
125	35
126	4
127	27
128	22
129	22
130	4
131	4
132	28
133	4
134	65
135	22
136	3
137	35
138	24
139	28
140	3
141	7
142	4
143	4
143	22
144	4
145	3
145	4
145	7
145	22
146	4
146	22
146	42
147	27
148	22
148	60
149	4
149	22
150	7
150	22
150	23
150	33
150	45
151	4
152	4
152	28
153	4
153	24
154	87
155	4
156	3
157	7
158	4
159	24
160	4
161	4
162	4
163	3
164	45
165	4
166	7
167	22
168	22
169	24
170	22
171	7
172	3
173	4
174	4
175	4
175	22
176	28
177	7
178	4
178	7
178	22
179	4
179	22
179	42
180	45
181	4
182	4
183	7
184	4
184	22
185	22
186	3
186	12
186	22
186	28
186	33
186	42
187	15
187	22
188	45
189	4
190	4
191	3
191	7
191	22
192	22
193	4
194	4
195	22
196	7
197	22
197	28
198	4
199	4
200	4
201	4
202	4
203	3
203	45
204	22
205	4
206	100
207	4
208	42
209	4
210	4
211	7
212	22
213	7
214	1
215	4
216	3
216	26
217	3
218	4
219	4
220	4
221	4
222	3
222	26
223	4
223	7
224	3
225	3
226	22
227	4
227	22
228	28
229	4
230	22
231	4
232	4
232	22
233	22
234	45
235	3
235	22
236	4
237	4
237	28
237	83
238	22
239	22
240	4
241	22
242	4
243	4
244	22
245	4
245	15
245	33
245	45
246	4
246	22
247	42
248	33
248	45
249	0
249	3
249	45
250	23
251	23
252	1
252	28
253	4
254	1
254	55
255	4
256	4
257	28
258	4
258	63
259	22
260	4
261	4
261	7
262	61
263	16
263	22
263	45
263	60
264	3
264	22
265	4
265	22
266	22
266	45
267	22
268	23
269	22
270	28
271	4
272	4
272	5
273	4
274	22
275	4
276	22
277	22
278	3
279	16
279	22
280	22
280	28
281	3
282	22
283	3
284	45
285	3
285	22
285	23
285	45
285	99
286	22
287	22
288	23
289	4
290	4
290	22
290	45
291	45
292	4
293	3
293	25
294	4
295	4
296	4
297	4
298	22
299	23
300	4
301	22
302	4
303	4
304	4
305	3
306	22
307	4
307	19
307	22
308	7
308	22
309	4
310	22
311	28
312	7
312	22
313	22
314	4
314	42
315	4
316	22
317	4
318	4
319	42
320	33
320	45
321	22
322	4
323	4
323	22
323	28
324	4
324	22
325	4
325	15
326	4
327	22
328	4
329	22
330	42
331	4
332	4
333	4
334	88
335	36
336	22
336	36
337	4
338	4
339	23
340	4
341	4
342	4
343	4
343	22
344	15
345	25
346	4
347	22
348	3
348	4
349	4
350	3
350	22
351	22
352	22
353	3
354	4
355	4
355	22
356	24
357	24
358	25
359	15
360	15
361	45
362	4
363	4
364	22
365	7
366	4
367	3
367	45
368	4
369	22
370	3
371	4
372	24
373	15
373	16
373	17
373	18
373	22
374	4
374	7
375	3
375	4
376	4
377	4
378	15
378	22
379	3
380	92
381	4
382	4
382	22
383	25
384	22
385	4
385	22
386	3
387	3
387	26
388	0
388	3
388	20
388	24
388	26
389	4
389	22
389	61
390	4
391	4
392	4
393	4
394	4
394	22
395	4
396	4
396	22
397	4
398	4
398	28
399	4
400	4
401	4
402	22
403	4
404	3
404	7
404	22
404	45
405	4
406	22
