 0 1 2 3 4 5
0 -1.7968597 -1.819079 -2.3329754 -1.2316887 -1.2754874 -5.5454564
1 -1.91854 -1.4219807 -2.3607838 -1.5095743 -1.2354802 -5.133178
2 -2.1416519 -1.270038 -2.7902722 -1.6753002 -1.1041795 -3.8360257
3 -1.6166902 -2.6556923 -1.4315965 -1.0524164 -1.9436945 -14.235947
4 -2.431358 -2.4188876 -0.640219 -1.7380314 -2.1201053 -26.200287
5 -1.7802433 -1.5405777 -2.4765139 -1.5124358 -1.2307074 -3.879975
6 -1.903443 -1.5493686 -2.77232 -1.5923676 -1.1329954 -2.9850664
7 -2.3574562 -1.6401038 -1.8561993 -1.0824552 -1.5308566 -13.886669
8 -1.8162249 -1.0281721 -2.8330479 -1.7526128 -1.4652388 -4.1028986
9 -1.577436 -1.4817466 -2.3424246 -1.7163854 -1.304805 -3.9517415
10 -1.7085598 -1.622803 -2.4453409 -1.5621445 -1.2196406 -3.5129108
11 -2.0827076 -1.2316493 -2.7349358 -1.7807112 -1.1403911 -3.4904778
12 -1.8540758 -1.4884136 -2.4135883 -1.4993815 -1.2067196 -5.1614966
13 -1.4641181 -1.5627753 -2.0476785 -1.6867487 -1.4255648 -5.37364
14 -2.0116706 -1.3666983 -2.5255992 -1.5086806 -1.2001143 -4.719941
15 -1.5715321 -1.779849 -2.177655 -1.3103902 -1.43151 -6.413003
16 -1.8841646 -1.6217983 -2.524588 -1.5061437 -1.1364069 -3.5871935
17 -1.7502611 -1.5993682 -2.590011 -1.5466627 -1.238096 -3.0718641
18 -1.7058 -1.6686373 -2.5160594 -1.4782917 -1.2736627 -3.1878586
19 -3.849822 -0.53938365 -3.5017717 -3.3225584 -1.1125281 -7.2968407
20 -1.5889158 -1.6309524 -2.2927425 -1.5045936 -1.3027573 -5.2529626
21 -1.7478932 -1.555277 -2.5360441 -1.4930019 -1.280555 -3.412172
22 -2.1905758 -2.9434364 -0.9037688 -1.1887116 -2.0729876 -22.14552
23 -1.9567354 -1.7543149 -1.670253 -1.7323906 -1.1376741 -10.377495
24 -1.673188 -1.6320684 -2.2631311 -1.318245 -1.4109074 -6.6634192
25 -2.592095 -0.9418453 -2.5071805 -1.9280024 -1.1774777 -8.342169
26 -1.5237881 -2.0142887 -1.9207346 -1.3534319 -1.4123042 -8.227845
27 -1.7781723 -1.601718 -2.489428 -1.5645732 -1.1814394 -3.4889774
28 -1.8887107 -1.6594042 -1.8343594 -1.4027623 -1.3750153 -11.273128
