Epoch: 124, Train: 0.9571, Test: 0.6129
Epoch: 125, Train: 0.9571, Test: 0.6129
Epoch: 126, Train: 0.9714, Test: 0.5806
Epoch: 127, Train: 0.9714, Test: 0.5806
Epoch: 128, Train: 0.9857, Test: 0.5806
Epoch: 129, Train: 0.9857, Test: 0.5806
Epoch: 130, Train: 0.9857, Test: 0.5484
Epoch: 131, Train: 0.9857, Test: 0.5484
Epoch: 132, Train: 0.9857, Test: 0.5806
Epoch: 133, Train: 0.9857, Test: 0.5806
Epoch: 134, Train: 0.9857, Test: 0.5806
Epoch: 135, Train: 0.9857, Test: 0.5806
Epoch: 136, Train: 0.9857, Test: 0.6129
Epoch: 137, Train: 0.9857, Test: 0.6129
Epoch: 138, Train: 0.9857, Test: 0.6129
Epoch: 139, Train: 0.9857, Test: 0.6129
Epoch: 140, Train: 0.9857, Test: 0.5806
Epoch: 141, Train: 0.9857, Test: 0.5806
Epoch: 142, Train: 0.9857, Test: 0.5806
Epoch: 143, Train: 0.9857, Test: 0.5806
Epoch: 144, Train: 0.9857, Test: 0.5484
Epoch: 145, Train: 0.9857, Test: 0.5484
Epoch: 146, Train: 0.9857, Test: 0.5484
Epoch: 147, Train: 0.9857, Test: 0.5484
Epoch: 148, Train: 0.9857, Test: 0.5484
Epoch: 149, Train: 0.9857, Test: 0.5484
Epoch: 150, Train: 0.9857, Test: 0.5806
Epoch: 151, Train: 0.9857, Test: 0.6129
Epoch: 152, Train: 0.9857, Test: 0.6129
Epoch: 153, Train: 0.9857, Test: 0.6129
Epoch: 154, Train: 0.9857, Test: 0.6129
Epoch: 155, Train: 0.9857, Test: 0.6129
Epoch: 156, Train: 0.9857, Test: 0.6129
Epoch: 157, Train: 0.9857, Test: 0.6452
Epoch: 158, Train: 0.9857, Test: 0.6452
Epoch: 159, Train: 0.9857, Test: 0.6452
Epoch: 160, Train: 0.9857, Test: 0.6452
Epoch: 161, Train: 0.9857, Test: 0.6129
Epoch: 162, Train: 0.9857, Test: 0.6129
Epoch: 163, Train: 0.9857, Test: 0.6129
Epoch: 164, Train: 0.9857, Test: 0.6129
Epoch: 165, Train: 0.9857, Test: 0.6129
Epoch: 166, Train: 0.9857, Test: 0.5806
Epoch: 167, Train: 0.9857, Test: 0.5806
Epoch: 168, Train: 0.9857, Test: 0.5484
Epoch: 169, Train: 0.9857, Test: 0.5484
Epoch: 170, Train: 0.9857, Test: 0.5484
Epoch: 171, Train: 0.9857, Test: 0.5806
Epoch: 172, Train: 1.0000, Test: 0.5484
Epoch: 173, Train: 1.0000, Test: 0.5484
Epoch: 174, Train: 1.0000, Test: 0.5806
Epoch: 175, Train: 1.0000, Test: 0.5806
Epoch: 176, Train: 1.0000, Test: 0.5806
Epoch: 177, Train: 1.0000, Test: 0.5806
Epoch: 178, Train: 1.0000, Test: 0.5806
Epoch: 179, Train: 0.9857, Test: 0.5806
Epoch: 180, Train: 1.0000, Test: 0.6129
Epoch: 181, Train: 1.0000, Test: 0.5806
Epoch: 182, Train: 1.0000, Test: 0.6129
Epoch: 183, Train: 1.0000, Test: 0.5806
Epoch: 184, Train: 1.0000, Test: 0.5806
Epoch: 185, Train: 1.0000, Test: 0.5806
Epoch: 186, Train: 1.0000, Test: 0.6129
Epoch: 187, Train: 1.0000, Test: 0.6129
Epoch: 188, Train: 1.0000, Test: 0.6129
Epoch: 189, Train: 1.0000, Test: 0.6129
Epoch: 190, Train: 1.0000, Test: 0.6129
Epoch: 191, Train: 1.0000, Test: 0.6129
Epoch: 192, Train: 1.0000, Test: 0.6129
Epoch: 193, Train: 1.0000, Test: 0.6129
Epoch: 194, Train: 1.0000, Test: 0.6129
Epoch: 195, Train: 1.0000, Test: 0.5806
Epoch: 196, Train: 1.0000, Test: 0.5806
Epoch: 197, Train: 1.0000, Test: 0.5806
Epoch: 198, Train: 1.0000, Test: 0.5806
Epoch: 199, Train: 1.0000, Test: 0.5484
Epoch: 200, Train: 1.0000, Test: 0.5484
